nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.4374e+00 nan 2.2994e+00 2.2702e+00 2.2402e+00 2.2021e+00 2.1633e+00 2.1230e+00 2.0822e+00 2.0443e+00 2.0059e+00 1.9768e+00 1.9472e+00 nan 1.8105e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.5437e+00 2.5131e+00 2.4816e+00 2.4362e+00 2.3889e+00 2.3276e+00 2.2939e+00 2.2476e+00 2.2082e+00 2.1641e+00 2.1205e+00 2.0787e+00 2.0332e+00 1.9960e+00 1.9486e+00 1.9171e+00 1.8551e+00 1.8098e+00 1.7635e+00 1.7328e+00 1.7016e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan 2.6981e+00 2.6648e+00 2.6306e+00 2.5732e+00 2.5448e+00 2.4946e+00 2.4568e+00 2.4023e+00 2.3606e+00 2.3059e+00 2.2629e+00 2.2123e+00 2.1655e+00 2.1181e+00 2.0681e+00 2.0245e+00 1.9718e+00 1.9322e+00 1.8760e+00 1.8378e+00 1.7821e+00 1.7474e+00 1.6962e+00 1.6699e+00 1.6117e+00 1.5785e+00 1.5449e+00 nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan 2.8460e+00 2.8168e+00 2.7868e+00 2.7305e+00 2.7059e+00 2.6530e+00 2.6221e+00 2.5658e+00 2.5302e+00 2.4729e+00 2.4315e+00 2.3732e+00 2.3271e+00 2.2701e+00 2.2199e+00 2.1658e+00 2.1117e+00 2.0614e+00 2.0043e+00 1.9585e+00 1.8991e+00 1.8577e+00 1.7977e+00 1.7608e+00 1.7024e+00 1.6709e+00 1.6138e+00 1.5862e+00 1.5329e+00 1.5108e+00 1.4544e+00 1.4257e+00 1.3965e+00 nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan 2.9153e+00 2.8741e+00 2.8605e+00 2.8123e+00 2.7892e+00 2.7337e+00 2.7056e+00 2.6470e+00 2.6129e+00 2.5515e+00 2.5111e+00 2.4480e+00 2.4013e+00 2.3379e+00 2.2853e+00 2.2237e+00 2.1658e+00 2.1078e+00 2.0457e+00 1.9928e+00 1.9281e+00 1.8809e+00 1.8154e+00 1.7744e+00 1.7099e+00 1.6752e+00 1.6129e+00 1.5840e+00 1.5251e+00 1.5014e+00 1.4460e+00 1.4264e+00 1.3784e+00 1.3670e+00 1.3259e+00 nan nan nan nan nan nan nan nan
nan nan nan nan nan nan 3.0059e+00 3.0047e+00 2.9553e+00 2.9455e+00 2.8944e+00 2.8769e+00 2.8210e+00 2.7967e+00 2.7358e+00 2.7051e+00 2.6400e+00 2.6021e+00 2.5337e+00 2.4879e+00 2.4177e+00 2.3639e+00 2.2940e+00 2.2327e+00 2.1656e+00 2.0982e+00 2.0365e+00 1.9651e+00 1.9104e+00 1.8376e+00 1.7907e+00 1.7188e+00 1.6799e+00 1.6108e+00 1.5794e+00 1.5142e+00 1.4895e+00 1.4289e+00 1.4100e+00 1.3547e+00 1.3415e+00 1.2912e+00 1.2843e+00 1.2357e+00 1.2360e+00 nan nan nan nan nan nan
