nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.81581 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.94819 -1.94272 -1.93521 -1.92676 -1.91779 -1.90848 -1.89892 -1.88915 -1.8792 -1.8691 -1.85887 -1.8485 -1.83802 -1.82739 -1.81659 -1.80624 -1.79573 -1.78515 -1.77455 -1.76395 -1.75338 -1.74288 -1.7325 -1.72228 -1.71231 -1.70271 -1.69371 -1.68576 -1.68004 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.99994 -1.99421 -1.98618 -1.97686 -1.96642 -1.95444 -1.94553 -1.9369 -1.92804 -1.91889 -1.90949 -1.89987 -1.89006 -1.8801 -1.86998 -1.85973 -1.84937 -1.83889 -1.82831 -1.81767 -1.80712 -1.79654 -1.78592 -1.77528 -1.76465 -1.75405 -1.74351 -1.73307 -1.72278 -1.71269 -1.70287 -1.6934 -1.68428 -1.67509 -1.66321 -1.65248 -1.64272 -1.63425 -1.62824 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.0517 -2.04615 -2.03829 -2.02908 -2.01862 -2.00644 -1.99727 -1.98822 -1.97872 -1.96869 -1.95833 -1.9488 -1.93957 -1.93034 -1.92098 -1.91145 -1.90175 -1.89189 -1.88188 -1.87173 -1.86146 -1.85108 -1.84059 -1.83002 -1.8194 -1.80877 -1.79812 -1.78744 -1.77675 -1.76606 -1.75539 -1.74477 -1.73424 -1.72381 -1.71353 -1.70343 -1.69349 -1.68363 -1.67357 -1.66279 -1.65225 -1.64217 -1.63257 -1.62299 -1.61068 -1.59969 -1.5898 -1.58132 -1.57535 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.09255 -2.08707 -2.07915 -2.06955 -2.05801 -2.04921 -2.04041 -2.03106 -2.02108 -2.01064 -2.00095 -1.99146 -1.98185 -1.97204 -1.96214 -1.95249 -1.943 -1.93353 -1.92398 -1.91432 -1.90453 -1.8946 -1.88454 -1.87435 -1.86404 -1.85363 -1.84312 -1.83253 -1.82187 -1.81119 -1.80046 -1.78971 -1.77895 -1.76817 -1.75742 -1.74669 -1.73603 -1.72544 -1.71495 -1.70455 -1.69424 -1.68393 -1.67351 -1.66288 -1.65229 -1.64188 -1.63161 -1.62119 -1.61009 -1.59933 -1.58915 -1.57956 -1.57014 -1.55827 -1.54804 -1.53948 -1.53356 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.12394 -2.11822 -2.10971 -2.09879 -2.09027 -2.08157 -2.07223 -2.06233 -2.05303 -2.04382 -2.03441 -2.02472 -2.01486 -2.00516 -1.99555 -1.98591 -1.9762 -1.96645 -1.95677 -1.94715 -1.93752 -1.92784 -1.91807 -1.90819 -1.89818 -1.88806 -1.87782 -1.86746 -1.85701 -1.84645 -1.83582 -1.82512 -1.81437 -1.80357 -1.79274 -1.78188 -1.77101 -1.76014 -1.74929 -1.73848 -1.72771 -1.717 -1.70634 -1.69571 -1.68509 -1.6744 -1.66364 -1.65289 -1.6422 -1.63154 -1.6208 -1.60991 -1.59914 -1.58864 -1.57839 -1.56813 -1.55736 -1.54712 -1.53759 -1.52842 -1.51718 -1.50815 -1.50203 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.15539 -2.14983 -2.14141 -2.13042 -2.12177 -2.11286 -2.10338 -2.09438 -2.0854 -2.07619 -2.06678 -2.05748 -2.04819 -2.0388 -2.02926 -2.01964 -2.01002 -2.00042 -1.9908 -1.98113 -1.97143 -1.96173 -1.95204 -1.94231 -1.93253 -1.92267 -1.9127 -1.90262 -1.89244 -1.88213 -1.87172 -1.86121 -1.85061 -1.83991 -1.82915 -1.81832 -1.80744 -1.79651 -1.78556 -1.77457 -1.76358 -1.75259 -1.74161 -1.73066 -1.71973 -1.70882 -1.69793 -1.68703 -1.6761 -1.66514 -1.65418 -1.64323 -1.63228 -1.62132 -1.61032 -1.5994 -1.58862 -1.57797 -1.56734 -1.55667 -1.54623 -1.5361 -1.52607 -1.51571 -1.50599 -1.49668 -1.48536 -1.4764 -1.47044 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.17807 -2.17174 -2.16172 -2.15345 -2.14472 -2.1353 -2.12631 -2.11734 -2.10823 -2.09922 -2.0902 -2.08109 -2.07188 -2.06265 -2.05339 -2.04406 -2.03463 -2.02514 -2.01561 -2.00605 -1.99645 -1.98682 -1.97714 -1.96743 -1.95769 -1.9479 -1.93804 -1.9281 -1.91806 -1.90791 -1.89765 -1.88729 -1.87682 -1.86624 -1.85557 -1.84481 -1.83397 -1.82306 -1.81208 -1.80105 -1.78998 -1.77888 -1.76775 -1.75661 -1.74546 -1.73431 -1.72317 -1.71203 -1.70089 -1.68974 -1.67857 -1.66738 -1.65618 -1.64498 -1.63378 -1.62259 -1.6114 -1.60027 -1.58922 -1.57825 -1.56734 -1.55649 -1.54578 -1.53523 -1.52478 -1.51436 -1.50416 -1.49408 -1.48374 -1.47416 -1.46524 -1.45496 -1.44829 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.21057 -2.20503 -2.19652 -2.18516 -2.17619 -2.16702 -2.15827 -2.14947 -2.14049 -2.13158 -2.12268 -2.11374 -2.1048 -2.09584 -2.08682 -2.07773 -2.06859 -2.0594 -2.05014 -2.04081 -2.03141 -2.02195 -2.01244 -2.00289 -1.99327 -1.98361 -1.97389 -1.96412 -1.95428 -1.94436 -1.93435 -1.92424 -1.91403 -1.90371 -1.89328 -1.88274 -1.87209 -1.86135 -1.85051 -1.83958 -1.82858 -1.8175 -1.80636 -1.79517 -1.78393 -1.77265 -1.76135 -1.75002 -1.73868 -1.72733 -1.71597 -1.70459 -1.69319 -1.68178 -1.67035 -1.65891 -1.64746 -1.63601 -1.62458 -1.61316 -1.60178 -1.59046 -1.57921 -1.56802 -1.55691 -1.5459 -1.53501 -1.52422 -1.51351 -1.50295 -1.49249 -1.4821 -1.47201 -1.46215 -1.4521 -1.44239 -1.43059 -1.4214 -1.41536 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.23262 -2.2266 -2.21688 -2.20877 -2.20009 -2.19061 -2.18157 -2.17264 -2.16388 -2.15514 -2.14636 -2.13758 -2.12879 -2.11997 -2.11114 -2.10227 -2.09335 -2.08436 -2.07532 -2.06621 -2.05704 -2.04779 -2.03846 -2.02907 -2.01962 -2.0101 -2.00051 -1.99086 -1.98113 -1.97133 -1.96146 -1.95149 -1.94143 -1.93126 -1.92099 -1.9106 -1.9001 -1.88949 -1.87877 -1.86794 -1.85702 -1.846 -1.83489 -1.8237 -1.81244 -1.80112 -1.78974 -1.77831 -1.76684 -1.75533 -1.74379 -1.73223 -1.72064 -1.70902 -1.69739 -1.68573 -1.67406 -1.66236 -1.65067 -1.63897 -1.62728 -1.6156 -1.60396 -1.59237 -1.58083 -1.56935 -1.55795 -1.54664 -1.53542 -1.5243 -1.51327 -1.50236 -1.49156 -1.48088 -1.47037 -1.45999 -1.44963 -1.43931 -1.42872 -1.41901 -1.41008 -1.39993 -1.39348 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
