nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.636372 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.806867 -0.795479 -0.779727 -0.761884 -0.742814 -0.722903 -0.702358 -0.681303 -0.659804 -0.637848 -0.616681 -0.595272 -0.573854 -0.552619 -0.531783 -0.51165 -0.492721 -0.476013 -0.464014 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.910059 -0.899174 -0.883591 -0.865148 -0.844137 -0.819673 -0.801238 -0.783176 -0.76445 -0.744977 -0.724849 -0.704172 -0.68304 -0.661547 -0.639825 -0.618216 -0.596574 -0.574966 -0.553518 -0.53239 -0.511768 -0.49185 -0.472693 -0.45344 -0.428612 -0.40644 -0.386564 -0.369642 -0.357871 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.972002 -0.960885 -0.944094 -0.922367 -0.905267 -0.887807 -0.869032 -0.848853 -0.827694 -0.807949 -0.788624 -0.769088 -0.749111 -0.728651 -0.707737 -0.68643 -0.664806 -0.642974 -0.621072 -0.59913 -0.577207 -0.555393 -0.533791 -0.512494 -0.491542 -0.470795 -0.449694 -0.427211 -0.405442 -0.384951 -0.36588 -0.347527 -0.325101 -0.307249 -0.295353 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.01687 -1.00446 -0.98454 -0.967944 -0.950347 -0.931326 -0.913056 -0.89467 -0.875632 -0.855842 -0.835582 -0.815544 -0.795592 -0.775473 -0.75503 -0.734202 -0.712987 -0.691419 -0.669556 -0.647471 -0.625249 -0.602945 -0.58062 -0.558341 -0.536176 -0.514173 -0.492331 -0.47055 -0.448615 -0.426375 -0.404464 -0.383237 -0.362729 -0.342538 -0.321839 -0.302672 -0.284884 -0.264478 -0.251437 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.06429 -1.05152 -1.03069 -1.01331 -0.995046 -0.977335 -0.959342 -0.940836 -0.922276 -0.903496 -0.884285 -0.86459 -0.844535 -0.824343 -0.804019 -0.783472 -0.762621 -0.741422 -0.719867 -0.697979 -0.675796 -0.653375 -0.630774 -0.60805 -0.585257 -0.56245 -0.539678 -0.516975 -0.494342 -0.471743 -0.44912 -0.426491 -0.404092 -0.382107 -0.36057 -0.339359 -0.318356 -0.298049 -0.27833 -0.258465 -0.239812 -0.218348 -0.20479 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.11206 -1.09937 -1.07846 -1.06092 -1.04233 -1.02435 -1.0063 -0.988314 -0.970152 -0.951697 -0.933013 -0.914046 -0.894711 -0.874981 -0.854901 -0.834551 -0.813944 -0.79305 -0.771831 -0.750264 -0.728346 -0.706092 -0.683534 -0.660714 -0.637679 -0.61448 -0.591165 -0.567782 -0.544373 -0.52097 -0.497589 -0.474232 -0.450903 -0.427649 -0.404585 -0.381814 -0.359378 -0.337265 -0.31548 -0.294147 -0.273228 -0.252554 -0.232274 -0.211782 -0.192642 -0.170701 -0.156963 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.15879 -1.14655 -1.12615 -1.10893 -1.09053 -1.07265 -1.05465 -1.03674 -1.01879 -1.00076 -0.982544 -0.96407 -0.945315 -0.926241 -0.906805 -0.886987 -0.866802 -0.846274 -0.825413 -0.804208 -0.782642 -0.760708 -0.738407 -0.715753 -0.692775 -0.669506 -0.645988 -0.622265 -0.598382 -0.574383 -0.550309 -0.526193 -0.502064 -0.477946 -0.453867 -0.429878 -0.406051 -0.382457 -0.35914 -0.336126 -0.31344 -0.291125 -0.269175 -0.247545 -0.226239 -0.205165 -0.184558 -0.163831 -0.144634 -0.122784 -0.109269 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.20271 -1.19159 -1.17244 -1.15606 -1.13833 -1.12097 -1.10337 -1.0858 -1.06815 -1.05045 -1.03264 -1.01466 -0.996468 -0.977992 -0.9592 -0.940058 -0.920534 -0.900613 -0.880291 -0.859574 -0.838465 -0.816961 -0.795056 -0.772748 -0.750046 -0.726964 -0.703527 -0.679768 -0.655722 -0.631431 -0.606938 -0.582284 -0.557512 -0.532659 -0.507762 -0.482856 -0.457982 -0.433189 -0.408535 -0.384077 -0.359862 -0.335926 -0.312301 -0.289016 -0.266082 -0.243495 -0.221258 -0.199368 -0.177877 -0.156731 -0.136217 -0.115787 -0.0971632 -0.0763628 -0.0639445 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.22955 -1.21525 -1.20097 -1.1846 -1.16822 -1.15143 -1.13452 -1.11747 -1.10029 -1.08299 -1.06554 -1.04791 -1.03005 -1.01192 -0.99348 -0.974682 -0.955497 -0.935898 -0.915869 -0.8954 -0.874488 -0.853131 -0.831329 -0.809081 -0.786391 -0.763269 -0.739732 -0.715804 -0.691514 -0.6669 -0.641999 -0.616853 -0.591506 -0.566 -0.540377 -0.51468 -0.488952 -0.463237 -0.437587 -0.412054 -0.386693 -0.361549 -0.336665 -0.312078 -0.287818 -0.263909 -0.240365 -0.217205 -0.194448 -0.17213 -0.150283 -0.129002 -0.108284 -0.0885105 -0.0693309 -0.0529474 -0.0376146 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.27553 -1.26464 -1.24522 -1.22911 -1.21378 -1.19805 -1.18211 -1.16591 -1.14952 -1.13294 -1.11618 -1.09923 -1.08206 -1.06465 -1.04695 -1.02894 -1.01055 -0.991776 -0.972569 -0.952908 -0.932774 -0.912155 -0.891043 -0.869436 -0.847333 -0.824735 -0.801649 -0.778087 -0.754068 -0.729616 -0.704761 -0.679538 -0.653986 -0.628147 -0.602065 -0.575786 -0.549355 -0.522819 -0.496226 -0.469626 -0.443071 -0.416613 -0.390307 -0.3642 -0.338339 -0.312765 -0.287514 -0.262619 -0.238107 -0.214008 -0.190353 -0.167183 -0.144544 -0.122504 -0.10113 -0.0805604 -0.0608278 -0.042228 -0.0236723 -0.00251244 0.0097337 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
