nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.72151 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.58847 4.59402 4.60169 4.61035 4.61956 4.62912 4.63894 4.64894 4.65908 4.66933 4.67967 4.69008 4.70053 4.71101 4.72151 4.732 4.74248 4.75293 4.76332 4.77365 4.7839 4.79403 4.80401 4.81381 4.82336 4.83255 4.84119 4.84884 4.85438 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.53709 4.54292 4.5511 4.56057 4.57108 4.58292 4.5919 4.6007 4.6098 4.6192 4.62887 4.63875 4.64879 4.65897 4.66925 4.67961 4.69003 4.7005 4.711 4.72151 4.73202 4.74251 4.75297 4.76339 4.77374 4.78401 4.79417 4.8042 4.81406 4.82371 4.8331 4.84218 4.85096 4.85991 4.87173 4.8822 4.89164 4.8998 4.90562 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.48513 4.49085 4.49896 4.50845 4.5191 4.53125 4.54056 4.54982 4.55954 4.56974 4.58023 4.58996 4.59942 4.60893 4.61859 4.62842 4.6384 4.64852 4.65875 4.66908 4.67948 4.68994 4.70044 4.71097 4.72151 4.73205 4.74257 4.75307 4.76352 4.77391 4.78423 4.79445 4.80455 4.81452 4.82433 4.83397 4.84346 4.8529 4.8626 4.87306 4.88324 4.89293 4.90215 4.91143 4.92354 4.93415 4.9436 4.95168 4.95738 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.44409 4.44975 4.45793 4.46778 4.47941 4.48845 4.49758 4.50729 4.51759 4.52827 4.53826 4.54807 4.55801 4.56813 4.57832 4.58827 4.5981 4.60791 4.6178 4.6278 4.63791 4.64813 4.65845 4.66884 4.6793 4.68981 4.70036 4.71093 4.72151 4.7321 4.74267 4.75321 4.76371 4.77416 4.78454 4.79484 4.80505 4.81514 4.82512 4.83499 4.84479 4.85458 4.86452 4.87468 4.88477 4.89467 4.90445 4.9144 4.92505 4.93531 4.94497 4.95406 4.96307 4.97465 4.98445 4.99259 4.99822 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.41283 4.41871 4.42742 4.43843 4.44722 4.45627 4.466 4.47626 4.48598 4.49564 4.50552 4.51569 4.526 4.53614 4.5462 4.55629 4.56645 4.57663 4.58673 4.59678 4.60682 4.61691 4.62708 4.63732 4.64765 4.65806 4.66853 4.67906 4.68964 4.70025 4.71088 4.72152 4.73216 4.74279 4.75339 4.76396 4.77448 4.78494 4.79533 4.80565 4.81588 4.82602 4.83609 4.84611 4.85613 4.86621 4.87636 4.88648 4.89654 4.90657 4.91668 4.92695 4.93707 4.94691 4.95653 4.9662 4.97642 4.9861 4.99511 5.00386 5.01481 5.02347 5.02932 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.3815 4.38723 4.39586 4.40695 4.41588 4.42513 4.43498 4.44444 4.45393 4.4637 4.47367 4.48356 4.49347 4.50349 4.51364 4.52388 4.5341 4.5443 4.55451 4.56475 4.57501 4.58524 4.59546 4.60569 4.61595 4.62627 4.63665 4.64709 4.6576 4.66817 4.67878 4.68943 4.70011 4.71082 4.72153 4.73224 4.74293 4.75361 4.76425 4.77486 4.78541 4.7959 4.80633 4.81669 4.82699 4.83723 4.84744 4.85763 4.86784 4.87806 4.88827 4.89845 4.90861 4.91879 4.92899 4.93911 4.94908 4.95894 4.9688 4.97872 4.98843 4.99788 5.00729 5.01709 5.02629 5.03517 5.04619 5.05477 5.06047 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.35922 4.36568 4.37578 4.38432 4.39341 4.40324 4.41271 4.42224 4.43194 4.44161 4.45133 4.46118 4.47114 4.48114 4.49119 4.50131 4.51152 4.52179 4.53208 4.54238 4.55271 4.56305 4.57341 4.58377 4.59413 4.60452 4.61494 4.6254 4.63591 4.64647 4.65709 4.66775 4.67846 4.6892 4.69996 4.71074 4.72153 4.73232 4.7431 4.75386 4.76459 4.77529 4.78594 4.79654 4.80709 4.81758 4.82802 4.83841 4.84877 4.85911 4.86945 4.87977 4.89008 4.90037 4.91064 4.92089 4.93112 4.94128 4.95136 4.96136 4.97132 4.98123 4.99103 5.0007 5.01032 5.01997 5.02944 5.03886 5.04863 5.05767 5.06616 5.07619 5.08261 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.32667 4.33243 4.34124 4.35276 4.36205 4.3716 4.38085 4.39024 4.39987 4.4095 4.41917 4.42893 4.43873 4.4486 4.45855 4.46858 4.47868 4.48883 4.49905 4.50933 4.51967 4.53005 4.54045 4.55088 4.56133 4.5718 4.58229 4.59279 4.60332 4.61388 4.62448 4.63512 4.6458 4.65653 4.6673 4.67811 4.68894 4.6998 4.71067 4.72154 4.73242 4.74329 4.75414 4.76496 4.77576 4.78651 4.79723 4.80789 4.81852 4.82909 4.83963 4.85013 4.86061 4.87106 4.8815 4.89192 4.90231 4.91267 4.92301 4.93331 4.94355 4.95372 4.96383 4.97388 4.98386 4.99376 5.00357 5.01332 5.02303 5.03265 5.04222 5.05179 5.06112 5.07031 5.0798 5.08903 5.10047 5.10922 5.11494 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.30482 4.31102 4.32091 4.32938 4.33853 4.34852 4.35815 4.36774 4.37725 4.38683 4.3965 4.40623 4.41602 4.42588 4.4358 4.44578 4.45583 4.46596 4.47615 4.48641 4.49672 4.5071 4.51752 4.52799 4.53849 4.54903 4.55959 4.57018 4.58079 4.59142 4.60209 4.61278 4.62351 4.63428 4.64509 4.65593 4.66681 4.67772 4.68866 4.69961 4.71058 4.72155 4.73253 4.74349 4.75444 4.76537 4.77627 4.78713 4.79796 4.80875 4.8195 4.83021 4.84088 4.85151 4.86212 4.8727 4.88325 4.89378 4.90428 4.91474 4.92517 4.93555 4.94588 4.95615 4.96636 4.9765 4.98658 4.99658 5.0065 5.01637 5.02617 5.0359 5.04557 5.05519 5.0647 5.07415 5.08368 5.09325 5.10316 5.11225 5.12066 5.13048 5.13663 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
