nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.73242 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.56401 4.57551 4.59146 4.60953 4.6288 4.64882 4.66934 4.6902 4.71126 4.73242 4.75357 4.7746 4.79542 4.81588 4.83582 4.855 4.87298 4.88884 4.90026 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.46094 4.4721 4.48811 4.50698 4.52825 4.55251 4.57105 4.58935 4.60834 4.62805 4.64832 4.66901 4.69 4.71117 4.73243 4.75368 4.77482 4.79577 4.8164 4.83659 4.8562 4.87509 4.89328 4.91169 4.93576 4.95684 4.97553 4.99138 5.00243 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.39957 4.41093 4.42801 4.44978 4.46725 4.48525 4.50459 4.52525 4.54673 4.56683 4.58654 4.60644 4.62672 4.64739 4.66838 4.68961 4.71099 4.73245 4.75389 4.77525 4.79643 4.81735 4.83794 4.85812 4.87792 4.89749 4.91744 4.93875 4.95923 4.97838 4.99619 5.01347 5.03498 5.05186 5.06306 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.35573 4.36831 4.38822 4.40519 4.42333 4.44292 4.46188 4.48105 4.50088 4.52142 4.54234 4.563 4.58353 4.60416 4.62502 4.64615 4.66751 4.68906 4.71074 4.73248 4.7542 4.77585 4.79735 4.81865 4.83968 4.86044 4.88095 4.90134 4.92184 4.94258 4.96293 4.98257 5.00153 5.02027 5.03962 5.05753 5.07427 5.09391 5.1063 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.30921 4.32224 4.34316 4.36097 4.37981 4.39829 4.4172 4.43669 4.4563 4.47617 4.49647 4.51721 4.53823 4.5593 4.58041 4.60165 4.62306 4.64466 4.66645 4.68839 4.71043 4.73251 4.75459 4.7766 4.79848 4.8202 4.84171 4.86301 4.88411 4.90507 4.92598 4.94681 4.96735 4.98744 5.00709 5.02646 5.04571 5.06436 5.08258 5.10115 5.11869 5.13928 5.1521 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.26187 4.27496 4.29618 4.31435 4.33369 4.35261 4.37175 4.39097 4.41047 4.43033 4.45046 4.47087 4.49163 4.51271 4.53405 4.55555 4.57719 4.59896 4.62089 4.64299 4.66524 4.68762 4.71007 4.73256 4.75504 4.77746 4.79978 4.82195 4.84395 4.86577 4.8874 4.90887 4.93019 4.95134 4.97221 4.99274 5.01292 5.03279 5.05239 5.07162 5.09056 5.10941 5.12803 5.14706 5.16491 5.18577 5.19863 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.21505 4.22782 4.24877 4.26683 4.28622 4.30528 4.32463 4.34404 4.36361 4.38337 4.40339 4.42372 4.44433 4.46524 4.48645 4.50796 4.52972 4.55168 4.57381 4.59611 4.61857 4.64117 4.66392 4.68676 4.70968 4.73262 4.75555 4.77843 4.80122 4.82388 4.84638 4.86871 4.89085 4.91282 4.93459 4.95614 4.97742 4.99839 5.01905 5.03939 5.05944 5.07917 5.09863 5.11789 5.13698 5.156 5.17473 5.19377 5.21149 5.23204 5.24456 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.17075 4.18244 4.20227 4.21964 4.23858 4.25736 4.27657 4.29593 4.31552 4.33529 4.35528 4.37551 4.39601 4.41681 4.4379 4.45929 4.48098 4.50296 4.52518 4.54763 4.57028 4.5931 4.61609 4.63922 4.66248 4.68584 4.70925 4.73269 4.75612 4.7795 4.80279 4.82596 4.84898 4.87183 4.89449 4.91696 4.9392 4.9612 4.98294 5.00437 5.02549 5.0463 5.06679 5.08699 5.1069 5.12656 5.14599 5.16523 5.18424 5.20308 5.22151 5.24007 5.25709 5.27651 5.28796 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.14434 4.15906 4.1743 4.19196 4.20991 4.22853 4.24748 4.26678 4.28636 4.30622 4.32633 4.34671 4.36738 4.38834 4.4096 4.43118 4.45306 4.47523 4.4977 4.52042 4.54339 4.56656 4.58993 4.61347 4.63715 4.66095 4.68485 4.7088 4.73278 4.75674 4.78065 4.80448 4.82819 4.85175 4.87514 4.89833 4.92131 4.94406 4.96654 4.98875 5.01066 5.03224 5.05351 5.07446 5.09509 5.11541 5.13544 5.1552 5.17469 5.1939 5.21282 5.23139 5.24964 5.26721 5.2845 5.2994 5.31379 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
