nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.45489 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.4474 -4.45181 -4.45416 -4.45558 -4.4565 -4.45708 -4.45743 -4.45759 -4.45761 -4.4575 -4.45727 -4.45695 -4.45654 -4.45603 -4.45541 -4.45507 -4.45464 -4.45417 -4.45369 -4.45322 -4.4528 -4.45245 -4.45222 -4.45214 -4.45229 -4.45278 -4.45384 -4.4559 -4.46015 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.44813 -4.45221 -4.45399 -4.45452 -4.45398 -4.452 -4.45306 -4.45438 -4.45548 -4.4563 -4.45689 -4.45728 -4.45751 -4.4576 -4.45758 -4.45744 -4.45721 -4.4569 -4.45652 -4.4561 -4.45573 -4.45535 -4.45495 -4.45454 -4.45415 -4.4538 -4.45352 -4.45333 -4.45328 -4.45342 -4.4538 -4.4545 -4.45551 -4.45639 -4.45447 -4.45375 -4.45398 -4.45548 -4.45937 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.44903 -4.45315 -4.45497 -4.45547 -4.45479 -4.45249 -4.45319 -4.45403 -4.45445 -4.45438 -4.45403 -4.45451 -4.45532 -4.45613 -4.45682 -4.45737 -4.45778 -4.45805 -4.45819 -4.45823 -4.45817 -4.45802 -4.4578 -4.45752 -4.4572 -4.45688 -4.45654 -4.4562 -4.45585 -4.45551 -4.45521 -4.45496 -4.45478 -4.45471 -4.45477 -4.45499 -4.45534 -4.45574 -4.45588 -4.45526 -4.45486 -4.4549 -4.45538 -4.45582 -4.45345 -4.45242 -4.45247 -4.45388 -4.45771 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.44879 -4.45287 -4.45452 -4.45454 -4.45273 -4.45365 -4.45458 -4.455 -4.45484 -4.4543 -4.45451 -4.45496 -4.45533 -4.45553 -4.45569 -4.45612 -4.45672 -4.45737 -4.45797 -4.45848 -4.45888 -4.45917 -4.45936 -4.45945 -4.45945 -4.45938 -4.45923 -4.45903 -4.45878 -4.45851 -4.45822 -4.45792 -4.45761 -4.45731 -4.45703 -4.45679 -4.4566 -4.45649 -4.45645 -4.4565 -4.4566 -4.45669 -4.45662 -4.4563 -4.456 -4.45585 -4.4558 -4.45556 -4.45458 -4.45392 -4.4538 -4.45423 -4.45474 -4.45271 -4.45232 -4.45355 -4.45733 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.44858 -4.45233 -4.45334 -4.45202 -4.45309 -4.45402 -4.45433 -4.45415 -4.4546 -4.45518 -4.45559 -4.45576 -4.45581 -4.45607 -4.45646 -4.45685 -4.4572 -4.45756 -4.45802 -4.45856 -4.45913 -4.45967 -4.46016 -4.46056 -4.46087 -4.46109 -4.46123 -4.46129 -4.46127 -4.46118 -4.46104 -4.46085 -4.46063 -4.46038 -4.46011 -4.45983 -4.45955 -4.45928 -4.45903 -4.45882 -4.45865 -4.45852 -4.45843 -4.45836 -4.45826 -4.45807 -4.45778 -4.45747 -4.45718 -4.45689 -4.45648 -4.45587 -4.45535 -4.45506 -4.45496 -4.45479 -4.45405 -4.45378 -4.45417 -4.45482 -4.4533 -4.45396 -4.45745 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.4484 -4.45221 -4.45321 -4.45173 -4.45258 -4.45322 -4.45333 -4.45394 -4.45461 -4.45509 -4.45542 -4.45589 -4.45642 -4.45689 -4.45726 -4.45759 -4.45798 -4.45842 -4.45887 -4.45933 -4.45979 -4.4603 -4.46084 -4.46139 -4.46191 -4.46239 -4.4628 -4.46313 -4.46338 -4.46356 -4.46366 -4.46369 -4.46365 -4.46356 -4.46342 -4.46323 -4.46302 -4.46278 -4.46251 -4.46224 -4.46197 -4.46171 -4.46146 -4.46123 -4.46102 -4.46082 -4.46061 -4.46038 -4.4601 -4.45975 -4.45938 -4.45899 -4.45856 -4.45808 -4.45753 -4.45701 -4.45659 -4.45624 -4.45587 -4.45538 -4.45507 -4.455 -4.45495 -4.4545 -4.4546 -4.45504 -4.45334 -4.45398 -4.45753 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.44872 -4.45172 -4.4511 -4.45223 -4.45294 -4.453 -4.45352 -4.4541 -4.45459 -4.45521 -4.45586 -4.45647 -4.45702 -4.4576 -4.45819 -4.45876 -4.45928 -4.45978 -4.46029 -4.46082 -4.46136 -4.46191 -4.46246 -4.46301 -4.46358 -4.46414 -4.46467 -4.46515 -4.46558 -4.46593 -4.46622 -4.46643 -4.46657 -4.46664 -4.46665 -4.4666 -4.46649 -4.46634 -4.46615 -4.46592 -4.46567 -4.46541 -4.46512 -4.46483 -4.46454 -4.46426 -4.46397 -4.46367 -4.46336 -4.46303 -4.46265 -4.46223 -4.46177 -4.46128 -4.46077 -4.46021 -4.45963 -4.45906 -4.45852 -4.45802 -4.45752 -4.45702 -4.45659 -4.45627 -4.45596 -4.45561 -4.4554 -4.45523 -4.45469 -4.45485 -4.45557 -4.45478 -4.45756 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.44967 -4.4533 -4.45399 -4.45195 -4.4523 -4.4525 -4.45315 -4.45379 -4.45428 -4.45489 -4.45554 -4.45621 -4.45691 -4.45764 -4.45836 -4.45906 -4.45976 -4.46045 -4.46113 -4.46179 -4.46242 -4.46306 -4.46369 -4.46432 -4.46495 -4.46557 -4.46619 -4.4668 -4.46738 -4.46793 -4.46844 -4.46889 -4.46927 -4.46959 -4.46984 -4.47001 -4.47012 -4.47016 -4.47015 -4.47007 -4.46994 -4.46977 -4.46956 -4.46931 -4.46904 -4.46874 -4.46843 -4.46809 -4.46775 -4.46739 -4.46701 -4.46661 -4.46618 -4.46571 -4.4652 -4.46466 -4.46408 -4.46347 -4.46284 -4.46218 -4.46153 -4.46089 -4.46026 -4.45964 -4.45905 -4.45849 -4.45798 -4.4575 -4.45704 -4.45663 -4.45624 -4.45583 -4.45564 -4.45558 -4.45522 -4.4551 -4.45277 -4.45302 -4.45631 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.44932 -4.45241 -4.45186 -4.45292 -4.45345 -4.45324 -4.45351 -4.45393 -4.45456 -4.45524 -4.45593 -4.45667 -4.45744 -4.45824 -4.45907 -4.4599 -4.46074 -4.46157 -4.46239 -4.4632 -4.464 -4.46478 -4.46554 -4.46628 -4.46702 -4.46775 -4.46846 -4.46916 -4.46984 -4.4705 -4.47112 -4.47171 -4.47225 -4.47273 -4.47314 -4.47349 -4.47378 -4.47399 -4.47413 -4.4742 -4.47421 -4.47416 -4.47405 -4.4739 -4.47369 -4.47344 -4.47316 -4.47284 -4.47249 -4.47212 -4.47172 -4.47129 -4.47083 -4.47035 -4.46983 -4.46927 -4.46867 -4.46804 -4.46737 -4.46667 -4.46595 -4.4652 -4.46445 -4.4637 -4.46296 -4.46222 -4.4615 -4.4608 -4.46014 -4.4595 -4.45888 -4.4583 -4.45775 -4.45722 -4.45678 -4.45637 -4.45587 -4.45532 -4.45439 -4.45426 -4.4548 -4.45397 -4.45677 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
