nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.73127 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72048 -1.7288 -1.73282 -1.73485 -1.73574 -1.73591 -1.73554 -1.73477 -1.73366 -1.73224 -1.73133 -1.73029 -1.72928 -1.72846 -1.72801 -1.7282 -1.72951 -1.73291 -1.74083 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72203 -1.7303 -1.734 -1.73501 -1.73368 -1.72919 -1.7308 -1.73287 -1.73439 -1.73528 -1.73562 -1.73553 -1.73508 -1.73436 -1.73348 -1.73267 -1.73186 -1.7311 -1.7305 -1.73019 -1.73033 -1.73108 -1.73245 -1.73356 -1.72884 -1.72675 -1.72682 -1.72964 -1.73733 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72079 -1.72848 -1.7307 -1.72828 -1.7306 -1.73273 -1.73372 -1.73352 -1.73256 -1.73316 -1.73431 -1.73539 -1.73616 -1.73658 -1.73666 -1.73645 -1.73601 -1.73543 -1.7348 -1.73416 -1.73356 -1.73305 -1.73273 -1.73266 -1.73283 -1.7331 -1.73285 -1.73105 -1.72983 -1.72972 -1.73081 -1.73235 -1.72948 -1.731 -1.73819 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72085 -1.72704 -1.72603 -1.72847 -1.73011 -1.73055 -1.73194 -1.73341 -1.73443 -1.73491 -1.73513 -1.73576 -1.73664 -1.73751 -1.73821 -1.73866 -1.73886 -1.73882 -1.73859 -1.7382 -1.73773 -1.73721 -1.73669 -1.73621 -1.73582 -1.73553 -1.73531 -1.73505 -1.73449 -1.73346 -1.7326 -1.73224 -1.73237 -1.73255 -1.73194 -1.73259 -1.73429 -1.73297 -1.73876 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72321 -1.72871 -1.72647 -1.72785 -1.72859 -1.73009 -1.73153 -1.73269 -1.73402 -1.73535 -1.73648 -1.73736 -1.73809 -1.7389 -1.73976 -1.74059 -1.74129 -1.74179 -1.74209 -1.74218 -1.74208 -1.74184 -1.74148 -1.74104 -1.74056 -1.74007 -1.73958 -1.73911 -1.73863 -1.73808 -1.73737 -1.73649 -1.73567 -1.73507 -1.73468 -1.73436 -1.73396 -1.73395 -1.73421 -1.73395 -1.73456 -1.73192 -1.73691 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72596 -1.7311 -1.72835 -1.72918 -1.72922 -1.73012 -1.73119 -1.73257 -1.73403 -1.73544 -1.73689 -1.73829 -1.73958 -1.74073 -1.74176 -1.74275 -1.74371 -1.74458 -1.74533 -1.7459 -1.74629 -1.74648 -1.74649 -1.74635 -1.74607 -1.74568 -1.74521 -1.74468 -1.7441 -1.74348 -1.7428 -1.74205 -1.74119 -1.74025 -1.73932 -1.73847 -1.73772 -1.73703 -1.73638 -1.73587 -1.73544 -1.73489 -1.73437 -1.73323 -1.73307 -1.72966 -1.73412 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72789 -1.73298 -1.73023 -1.7309 -1.73067 -1.73122 -1.73192 -1.73299 -1.73429 -1.73578 -1.73736 -1.73897 -1.74057 -1.74213 -1.74361 -1.74498 -1.74624 -1.74742 -1.7485 -1.74947 -1.7503 -1.75096 -1.75144 -1.75172 -1.75182 -1.75175 -1.75152 -1.75116 -1.75067 -1.75009 -1.74942 -1.74866 -1.74782 -1.74689 -1.74586 -1.74477 -1.74365 -1.74255 -1.74148 -1.74045 -1.73945 -1.73851 -1.73758 -1.73661 -1.73558 -1.73438 -1.73324 -1.73155 -1.73098 -1.72729 -1.73156 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72733 -1.73302 -1.73097 -1.73195 -1.73185 -1.7324 -1.733 -1.73391 -1.73504 -1.73641 -1.73797 -1.73967 -1.74145 -1.74327 -1.74507 -1.74683 -1.74851 -1.7501 -1.75157 -1.75293 -1.75416 -1.75526 -1.7562 -1.75695 -1.75752 -1.75789 -1.75806 -1.75804 -1.75785 -1.75749 -1.75698 -1.75634 -1.75557 -1.75468 -1.75368 -1.75257 -1.75136 -1.75007 -1.74872 -1.74736 -1.74599 -1.74462 -1.74325 -1.7419 -1.74055 -1.73917 -1.73774 -1.73625 -1.73473 -1.73312 -1.7317 -1.7299 -1.72946 -1.72635 -1.73119 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.72624 -1.72858 -1.73112 -1.73182 -1.73279 -1.73361 -1.73463 -1.73579 -1.73715 -1.73869 -1.74041 -1.74227 -1.74425 -1.74628 -1.74834 -1.75037 -1.75236 -1.75427 -1.75607 -1.75775 -1.7593 -1.76071 -1.76195 -1.76301 -1.76387 -1.76453 -1.76498 -1.76521 -1.76524 -1.76507 -1.7647 -1.76416 -1.76344 -1.76257 -1.76154 -1.76038 -1.75909 -1.75768 -1.75616 -1.75458 -1.75293 -1.75125 -1.74954 -1.74781 -1.74607 -1.74432 -1.74255 -1.74075 -1.73892 -1.7371 -1.73529 -1.73359 -1.73196 -1.7308 -1.72973 -1.73093 -1.73262 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
