nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00911638 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0165635 0.0121965 0.0099238 0.00861539 0.00783714 0.00739303 0.0071801 0.0071367 0.00722181 0.00740573 0.00766541 0.00798189 0.00833888 0.00872171 0.00911668 0.00951082 0.00989069 0.0102427 0.0105521 0.0108028 0.0109758 0.0110483 0.0109905 0.0107617 0.0103005 0.00950412 0.00817733 0.00588721 0.0015069 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0161978 0.0121762 0.010473 0.0100203 0.0105723 0.0124287 0.0113937 0.0101546 0.0091833 0.00850333 0.00806392 0.00781379 0.0077121 0.0077272 0.00783408 0.00801229 0.00824446 0.00851529 0.00881087 0.00911812 0.00942439 0.00971694 0.0099827 0.0102078 0.0103769 0.0104728 0.0104751 0.0103589 0.0100927 0.00963579 0.00893712 0.00794613 0.00668652 0.00562896 0.00745417 0.00797638 0.00749505 0.00576583 0.00172484 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0152887 0.0112712 0.00960086 0.00926176 0.0100422 0.0122925 0.0116534 0.0109245 0.0106227 0.0107794 0.0111856 0.0107952 0.0101181 0.00946019 0.00892933 0.00854586 0.00829939 0.00817104 0.00814113 0.00819143 0.00830555 0.00846867 0.00866726 0.00888867 0.00912083 0.00935197 0.00957028 0.00976371 0.00991964 0.0100246 0.0100637 0.0100208 0.00987763 0.00961466 0.00921311 0.0086627 0.00798379 0.00728403 0.00686863 0.0072463 0.00737337 0.00704159 0.00628246 0.00561137 0.00781826 0.0085585 0.00818184 0.00647811 0.00243627 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0154938 0.0115266 0.0100334 0.0101505 0.0119961 0.0112164 0.0104723 0.0102538 0.0105918 0.0112768 0.0112209 0.0109493 0.010767 0.0107372 0.0107395 0.0104837 0.0100627 0.00961038 0.00920827 0.00889115 0.00866721 0.00853186 0.00847516 0.00848529 0.00855011 0.00865773 0.00879672 0.00895602 0.00912487 0.00929266 0.0094488 0.00958252 0.0096828 0.00973823 0.00973697 0.00966694 0.00951639 0.00927544 0.00893957 0.00851701 0.00804256 0.00759745 0.00731551 0.00728928 0.0072294 0.00701571 0.00671127 0.00662027 0.00726607 0.00756437 0.00730688 0.0065244 0.00570514 0.0074986 0.00756954 0.00603675 0.00204139 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0158633 0.0121998 0.0113126 0.0126619 0.011742 0.0110268 0.0109382 0.0113291 0.0111264 0.0108184 0.0106899 0.0107946 0.0110023 0.0110046 0.0108851 0.010759 0.0106634 0.0105518 0.0103379 0.0100388 0.00971075 0.00940257 0.00914359 0.00894676 0.00881438 0.0087427 0.00872479 0.00875217 0.00881575 0.00890618 0.00901412 0.00913026 0.00924531 0.00935001 0.00943505 0.0094911 0.00950886 0.00947926 0.00939388 0.00924583 0.0090314 0.00875296 0.00842347 0.00807224 0.00774796 0.00750693 0.00736614 0.00723949 0.0070808 0.00692688 0.00689265 0.00706156 0.00712622 0.00695711 0.00660767 0.00636163 0.00670536 0.0065703 0.00581049 0.00484576 0.00613781 0.00520386 0.00150791 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0161741 0.0124612 0.0115957 0.0131188 0.0124178 0.011988 0.0120995 0.0117529 0.0113942 0.0112466 0.0112561 0.011142 0.0109853 0.0108933 0.0108948 0.0109336 0.0109103 0.0108277 0.0107211 0.0106059 0.0104667 0.0102778 0.0100441 0.00979159 0.00954802 0.00933423 0.00916218 0.00903652 0.00895679 0.0089193 0.00891837 0.00894722 0.00899844 0.00906433 0.00913703 0.00920862 0.00927118 0.00931686 0.00933797 0.00932714 0.00927761 0.00918375 0.0090419 0.00885164 0.00861765 0.00835192 0.00807523 0.00781548 0.00759837 0.00742909 0.00728185 0.00714136 0.00702302 0.00696213 0.00696154 0.00692203 0.00678786 0.00658777 0.00642857 0.0063911 0.00619598 0.00578932 0.00539363 0.00545255 0.00497196 0.00422066 0.00567997 0.00476343 0.00101591 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0161617 0.0132388 0.013883 0.012908 0.0124226 0.0125984 0.0123652 0.0121226 0.0119955 0.0117765 0.0115506 0.0113984 0.0113072 0.0112005 0.011088 0.0110036 0.0109579 0.0109275 0.0108758 0.0107947 0.010692 0.0105726 0.0104318 0.0102626 0.0100688 0.00986378 0.00966403 0.00948347 0.00933154 0.00921304 0.00912898 0.00907758 0.00905511 0.00905661 0.00907634 0.00910804 0.00914521 0.00918124 0.00920951 0.00922352 0.00921706 0.00918438 0.00912055 0.00902189 0.00888665 0.00871586 0.00851435 0.00829159 0.00806155 0.00784059 0.00764222 0.00747023 0.00731771 0.00717998 0.00706194 0.00697155 0.00690063 0.00681272 0.00668475 0.00652718 0.00637399 0.00623468 0.00603337 0.00575738 0.00548709 0.00530698 0.00501093 0.00472307 0.0048411 0.00430079 0.00327291 0.00385377 0.00088945 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0152314 0.0117421 0.0112297 0.0133538 0.0131839 0.0132115 0.0128655 0.0125886 0.0124876 0.0123222 0.0121421 0.0119836 0.0118075 0.0116338 0.0114897 0.011374 0.0112654 0.0111629 0.0110757 0.0110059 0.0109429 0.0108712 0.0107836 0.01068 0.0105611 0.0104256 0.0102724 0.0101049 0.0099311 0.00976118 0.00960442 0.0094678 0.00935546 0.00926885 0.00920723 0.00916819 0.00914811 0.00914256 0.00914657 0.00915484 0.00916192 0.00916239 0.00915095 0.00912264 0.00907306 0.0089986 0.00889689 0.00876721 0.00861105 0.00843257 0.00823878 0.00803902 0.00784337 0.00765993 0.00749215 0.00733899 0.00719917 0.00707343 0.00696173 0.00685694 0.00674367 0.00661146 0.00646241 0.00630572 0.00614045 0.00594564 0.00571994 0.00549057 0.00527751 0.00504189 0.00481977 0.0046607 0.00432586 0.00392139 0.00388741 0.00365637 0.0057036 0.00513093 0.00160145 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0157447 0.0127701 0.0134135 0.0125656 0.0123218 0.0128403 0.012932 0.0129139 0.0127542 0.0125792 0.0124416 0.0122942 0.0121405 0.0119897 0.0118364 0.0116876 0.0115531 0.011434 0.0113244 0.0112228 0.0111308 0.0110476 0.0109674 0.0108829 0.0107889 0.0106837 0.0105667 0.0104375 0.0102968 0.0101475 0.00999493 0.0098455 0.00970555 0.00958012 0.00947247 0.00938405 0.00931462 0.00926261 0.00922539 0.00919954 0.00918115 0.00916594 0.00914952 0.00912746 0.00909553 0.00904979 0.00898688 0.00890417 0.00880011 0.00867451 0.00852883 0.00836636 0.00819218 0.00801262 0.0078342 0.00766223 0.00749967 0.00734718 0.00720449 0.0070711 0.00694522 0.00682193 0.00669377 0.00655522 0.00640549 0.00624623 0.00607596 0.00588899 0.00568634 0.00547793 0.00527078 0.00505954 0.00485359 0.00465625 0.00442073 0.00419956 0.00411827 0.00414527 0.00459556 0.00428783 0.00337966 0.00395192 0.000931849 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
